,Year,Month,BusinessApplications,ConstructionSpending,DurableGoodsNewOrders,InternationalTrade_Exports,InternationalTrade_Imports,ManuInventories,ManuNewOrders,NewHomesForSale,NewHomesSold,ResConstPermits,ResConstUnitsCompleted,ResConstUnitsStarted,RetailInventories,SalesForRetailAndFood,WholesaleInventories,GDPC1,UNRATE,CSUSHPINSA,FEDFUNDS,DATE,MEDIANCPI,ElectionYear
0,2004,7,159396,1006184.0,186835,96907.0,148513.0,426260.0,356710.0,400,1088,2112,1881,2002,454032,318549,326753,15512.619,5.5,152.338,1.26,2004-07-01,1.77113695955513,1
1,2004,8,192188,1013616.0,183728,97295.0,150942.0,429820.0,355629.0,405,1175,2056,1911,2024,457271,318977,330102,,5.4,153.815,1.43,2004-08-01,2.87323745174035,1
2,2004,9,191225,1012080.0,188444,98782.0,150468.0,430989.0,361042.0,410,1214,2041,1796,1905,456162,324569,330046,,5.4,155.109,1.61,2004-09-01,2.1466349952753,1
3,2004,10,191102,1015719.0,185187,100494.0,155552.0,434813.0,364476.0,413,1305,2097,1839,2072,455096,326740,335173,15670.88,5.5,156.3,1.76,2004-10-01,2.6605010937276203,1
4,2004,11,211318,1022994.0,192545,100090.0,159057.0,439997.0,373177.0,418,1179,2079,1758,1782,459431,327836,339330,,5.4,157.497,1.93,2004-11-01,1.4800663055379,1
5,2004,12,193328,1037480.0,193578,102781.0,157699.0,441222.0,373419.0,422,1242,2082,1921,2042,460394,331874,340128,,5.4,158.671,2.16,2004-12-01,1.91524972608856,1
6,2005,1,201725,1046082.0,194875,103206.0,159395.0,446240.0,378937.0,441,1203,2139,1892,2144,461016,328696,345246,15844.727,5.3,160.13,2.28,2005-01-01,3.4217591363454103,0
7,2005,2,204234,1066848.0,196475,104010.0,162104.0,451361.0,381880.0,446,1319,2114,1908,2207,462872,333026,347068,,5.4,161.924,2.5,2005-02-01,3.30400229074104,0
8,2005,3,201630,1071745.0,186608,105098.0,158231.0,455394.0,374642.0,445,1328,2062,1787,1864,464979,333581,348774,,5.2,164.576,2.63,2005-03-01,1.8971793950121696,0
9,2005,4,204096,1081012.0,194847,107268.0,164580.0,456990.0,385450.0,445,1260,2150,1927,2061,465861,336583,351996,15922.782,5.2,167.0,2.79,2005-04-01,2.09647901335652,0
10,2005,5,203523,1093341.0,206623,107079.0,163120.0,457623.0,395916.0,450,1286,2085,2103,2025,465988,334522,352838,,5.1,169.545,3.0,2005-05-01,3.16846235161856,0
11,2005,6,210096,1105896.0,210020,107033.0,165185.0,458507.0,400506.0,455,1274,2178,1965,2068,463147,343998,354277,,5.0,172.016,3.04,2005-06-01,1.62477538920178,0
12,2005,7,207999,1119101.0,194475,107082.0,165383.0,461924.0,386590.0,464,1389,2203,1886,2054,452724,346576,355552,16047.587,5.0,174.09799999999998,3.26,2005-07-01,3.0286455734746403,0
13,2005,8,204797,1129163.0,204839,108475.0,167220.0,461964.0,401287.0,476,1255,2219,1952,2095,455534,343307,357368,,4.9,175.923,3.5,2005-08-01,2.22215620270876,0
14,2005,9,184551,1148438.0,203997,107156.0,172039.0,463598.0,404154.0,487,1244,2263,1922,2151,460270,343956,358769,,5.0,177.61,3.62,2005-09-01,4.02470724061161,0
15,2005,10,230658,1160831.0,209901,109813.0,177078.0,467552.0,409487.0,490,1336,2170,1962,2065,461942,344097,361845,16136.734,5.0,178.752,3.78,2005-10-01,3.3315751559861897,0
16,2005,11,222505,1172090.0,220733,111462.0,175321.0,470206.0,421486.0,502,1214,2218,1907,2147,467074,347325,363476,,5.0,179.673,4.0,2005-11-01,2.8369119481422596,0
17,2005,12,233703,1184677.0,221499,113822.0,178391.0,474639.0,422981.0,511,1239,2120,1941,1994,471700,347405,367822,,4.9,180.107,4.16,2005-12-01,2.20489319920401,0
18,2006,1,216481,1195642.0,209540,115831.0,182797.0,479543.0,415824.0,523,1174,2212,2036,2273,474302,357331,369450,16353.835,4.7,180.827,4.29,2006-01-01,2.88432186623886,0
19,2006,2,225673,1205639.0,219738,116871.0,179180.0,481048.0,421074.0,539,1061,2141,2048,2119,473254,354706,372985,,4.8,181.499,4.49,2006-02-01,2.07202087371556,0
20,2006,3,222474,1205169.0,227188,118821.0,181217.0,486076.0,430457.0,552,1116,2118,2245,1969,479481,355665,374722,,4.7,182.749,4.59,2006-03-01,3.08218251360963,0
21,2006,4,223297,1193296.0,214625,119611.0,182213.0,491322.0,418625.0,565,1123,1998,2071,1821,477862,357423,379226,16396.151,4.7,183.648,4.79,2006-04-01,2.8870316165126,0
22,2006,5,222048,1180581.0,215819,121155.0,185973.0,496672.0,423472.0,565,1086,1905,1897,1942,484518,356704,382161,,4.6,184.38,4.94,2006-05-01,4.28816068458393,0
23,2006,6,218254,1172128.0,221220,122726.0,186526.0,501897.0,427440.0,566,1074,1867,2050,1802,488787,357879,385111,,4.6,184.547,4.99,2006-06-01,3.19983083499134,0
24,2006,7,220254,1157926.0,209494,120430.0,187339.0,506637.0,416849.0,572,965,1763,1934,1737,485766,359006,388619,16420.738,4.7,184.607,5.24,2006-07-01,3.0539305241528396,0
25,2006,8,218935,1145907.0,210473,122780.0,191057.0,511525.0,418759.0,566,1035,1722,1877,1650,487446,360691,392217,,4.7,184.404,5.25,2006-08-01,4.62137039677921,0
26,2006,9,212057,1135753.0,234701,124052.0,189146.0,516251.0,435776.0,559,1016,1655,2011,1720,485983,358961,394224,,4.5,184.198,5.25,2006-09-01,2.1062637733366696,0
27,2006,10,206805,1122914.0,216952,125532.0,185072.0,519748.0,415798.0,554,941,1570,1918,1491,485583,358462,396412,16561.866,4.4,184.053,5.25,2006-10-01,3.6506970400157703,0
28,2006,11,202263,1121749.0,224809,127388.0,186327.0,522206.0,426451.0,543,1003,1535,1893,1570,484834,359266,400298,,4.5,183.63,5.25,2006-11-01,3.02469916751935,0
29,2006,12,247115,1135406.0,229243,128795.0,190677.0,523476.0,437894.0,536,998,1638,1888,1649,486412,363730,398792,,4.4,183.229,5.24,2006-12-01,2.72554654380133,0
30,2007,1,206985,1137917.0,222969,130648.0,188661.0,524494.0,427905.0,538,891,1626,1822,1409,488010,363616,400079,16611.69,4.6,182.717,5.25,2007-01-01,2.9644102631689195,0
31,2007,2,217706,1139032.0,220962,129481.0,187960.0,527703.0,430410.0,544,828,1598,1640,1480,489691,364006,401751,,4.5,182.47,5.26,2007-02-01,4.4470256400193495,0
32,2007,3,216090,1146624.0,229526,133835.0,196018.0,529461.0,442158.0,545,833,1596,1623,1495,487268,367158,404080,,4.4,182.193,5.26,2007-03-01,2.6885311218425296,0
33,2007,4,214518,1150590.0,233420,133351.0,193845.0,533451.0,446596.0,548,887,1470,1539,1490,489640,366187,405510,16713.314,4.5,182.13099999999997,5.25,2007-04-01,2.36832536836802,0
34,2007,5,220719,1161581.0,228836,135835.0,195406.0,538547.0,445891.0,545,842,1493,1536,1415,492929,370934,406748,,4.4,181.884,5.25,2007-05-01,2.35349143799752,0
35,2007,6,221767,1163511.0,228868,137312.0,197310.0,540804.0,446539.0,542,793,1407,1481,1448,496146,368154,408205,,4.6,181.54,5.25,2007-06-01,3.2680317367730405,0
36,2007,7,221308,1155448.0,233176,138546.0,198792.0,541015.0,450464.0,537,778,1361,1534,1354,497100,369614,409097,16809.587,4.7,180.993,5.26,2007-07-01,2.82817098511783,0
37,2007,8,218353,1159077.0,235758,141519.0,198733.0,542345.0,452598.0,533,699,1321,1512,1330,500179,371358,410271,,4.6,180.234,5.02,2007-08-01,2.18457280462696,0
38,2007,9,226146,1158580.0,226473,142069.0,200228.0,548039.0,448633.0,527,686,1261,1356,1183,499246,372869,413197,,4.7,179.12099999999998,4.94,2007-09-01,3.7044060077008303,0
39,2007,10,233182,1152491.0,230700,144525.0,202191.0,551124.0,458907.0,514,727,1192,1405,1264,500684,375289,414437,16915.191,4.7,177.52900000000002,4.76,2007-10-01,3.43463052089827,0
40,2007,11,213292,1132908.0,227005,146264.0,206947.0,556989.0,464910.0,503,641,1224,1390,1197,500361,378860,419306,,4.7,175.16099999999997,4.49,2007-11-01,3.4753593527569997,0
41,2007,12,245389,1115141.0,244443,147428.0,205719.0,563043.0,481274.0,497,619,1149,1328,1037,500578,374298,424602,,5.0,173.33700000000002,4.24,2007-12-01,2.98265388398264,0
42,2008,1,207457,1111347.0,239389,151094.0,212433.0,568357.0,478676.0,487,627,1094,1331,1084,501733,375236,430048,16843.003,5.0,171.076,3.94,2008-01-01,3.28360527628442,1
43,2008,2,210454,1096648.0,235037,153660.0,217886.0,570114.0,473714.0,477,593,1014,1274,1103,502105,371833,435091,,4.9,169.18900000000002,2.98,2008-02-01,2.85747436326564,1
44,2008,3,220356,1103446.0,234868,152900.0,213100.0,573237.0,473829.0,470,535,967,1195,1005,499066,372745,435780,,5.1,167.90200000000002,2.61,2008-03-01,3.0404857461239905,1
45,2008,4,219304,1101252.0,231086,157363.0,221095.0,571883.0,477888.0,458,536,1008,1022,1013,499734,372572,442932,16943.291,5.0,167.32299999999998,2.28,2008-04-01,2.24101388446512,1
46,2008,5,216014,1101547.0,227370,159081.0,221392.0,573696.0,477706.0,451,504,995,1142,973,498206,376036,445473,,5.4,167.02,1.98,2008-05-01,2.4627692895931,1
47,2008,6,210771,1090098.0,229262,164072.0,224962.0,577427.0,485010.0,435,487,1180,1142,1046,497530,376455,451820,,5.6,166.53599999999997,2.0,2008-06-01,4.05370089545272,1
48,2008,7,209946,1086952.0,220411,166232.0,233221.0,578433.0,477725.0,419,477,921,1087,923,499771,375038,457528,16854.295,5.8,165.71200000000002,2.01,2008-07-01,3.98912873927892,1
49,2008,8,222490,1070075.0,214106,163335.0,225729.0,580335.0,463929.0,409,435,858,1017,844,497407,372284,461444,,6.1,164.27599999999998,2.0,2008-08-01,2.94013128490127,1
50,2008,9,210337,1059579.0,215245,154611.0,214904.0,572743.0,452545.0,395,433,797,1160,820,495539,366729,460429,,6.1,161.911,1.81,2008-09-01,3.17438970761372,1
51,2008,10,205209,1055959.0,191912,151854.0,212732.0,567064.0,419715.0,381,393,736,1055,777,493176,352950,453954,16485.35,6.5,159.162,0.97,2008-10-01,2.20171024216991,1
52,2008,11,204190,1035033.0,181552,142973.0,188105.0,560227.0,386733.0,371,389,626,1076,652,487230,339350,450613,,6.8,156.071,0.39,2008-11-01,1.93625366578525,1
